epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1522.35,0.99189,0.69123,1.20603,0.41208,0.3803,0.35264,0.15454,2.63231,2.59158,2.87094,0.000962793,0.000962793,0.000962793
66,1545.64,1.02205,0.72035,1.22953,0.49044,0.43931,0.44216,0.19709,2.62985,2.22614,2.92692,0.000954546,0.000954546,0.000954546
67,1568.74,0.99266,0.68238,1.20985,0.65702,0.3994,0.42535,0.19813,2.67998,2.23091,3.02162,0.000946219,0.000946219,0.000946219
68,1591.85,0.97021,0.67492,1.19317,0.40082,0.43168,0.38466,0.17726,2.58732,2.69643,2.83855,0.000937815,0.000937815,0.000937815
69,1615.09,0.99098,0.68632,1.2056,0.44573,0.44296,0.38846,0.16895,2.7295,2.48985,3.00584,0.000929335,0.000929335,0.000929335
70,1638.2,0.99813,0.69916,1.21916,0.48108,0.38249,0.39318,0.18378,2.57005,2.64582,2.99335,0.000920782,0.000920782,0.000920782
71,1661.44,0.9641,0.67705,1.19333,0.39671,0.47038,0.38953,0.18839,2.53134,2.38835,2.87203,0.000912157,0.000912157,0.000912157
72,1684.59,0.97351,0.67828,1.19706,0.33602,0.48483,0.35891,0.15507,2.62501,2.56708,2.94698,0.000903462,0.000903462,0.000903462
73,1707.69,0.95903,0.68045,1.20017,0.4121,0.36152,0.36678,0.14531,2.71185,2.59739,3.08048,0.000894701,0.000894701,0.000894701
74,1730.82,0.95783,0.65168,1.18456,0.44972,0.32279,0.32926,0.14492,2.67115,2.70611,3.05617,0.000885875,0.000885875,0.000885875
75,1753.91,0.9626,0.6689,1.19334,0.40477,0.41987,0.35974,0.16378,2.62723,2.64974,3.0306,0.000876985,0.000876985,0.000876985
76,1777.14,0.95521,0.66059,1.18945,0.50723,0.34259,0.36133,0.16629,2.58588,2.65797,3.00956,0.000868035,0.000868035,0.000868035
77,1800.27,0.96291,0.66346,1.19905,0.45441,0.46316,0.4086,0.19331,2.58867,2.63299,2.98348,0.000859027,0.000859027,0.000859027
78,1823.38,0.94872,0.64398,1.18444,0.41468,0.46347,0.39171,0.16436,2.65906,2.73918,3.05479,0.000849963,0.000849963,0.000849963
79,1846.52,0.95466,0.64849,1.17573,0.40088,0.39146,0.35342,0.15479,2.58279,2.84247,2.98684,0.000840844,0.000840844,0.000840844
80,1869.58,0.95318,0.67028,1.18888,0.44373,0.35976,0.3713,0.17381,2.56013,2.72342,3.00588,0.000831674,0.000831674,0.000831674
81,1892.93,0.94558,0.65472,1.18566,0.37513,0.50609,0.3967,0.16765,2.6307,2.67085,3.00968,0.000822454,0.000822454,0.000822454
82,1916.01,0.90368,0.63346,1.16711,0.44476,0.51832,0.41434,0.20262,2.633,2.56271,3.00255,0.000813187,0.000813187,0.000813187
83,1939.07,0.92578,0.64128,1.1761,0.40767,0.42754,0.3832,0.16777,2.70222,2.60999,3.03872,0.000803876,0.000803876,0.000803876
84,1962.18,0.91456,0.62426,1.16644,0.35542,0.39223,0.34798,0.15946,2.51688,2.72247,2.80825,0.000794521,0.000794521,0.000794521
